Ros wall_time;Angle Actuator 1 (deg);Angle Actuator 2 (deg);Angle Actuator 3 (deg);Angle Actuator 4 (deg);Angle Actuator 5 (deg);Angle Actuator 6 (deg);Angle Actuator 7 (deg)
1557073543181405381;-1245.8;222.901;1568.79;61.4797;-1200.81;240.969;268.218
1557073543201421630;-1245.8;222.901;1568.79;61.4797;-1200.81;240.969;268.218
1557073543221414351;-1245.8;222.901;1568.79;61.4797;-1200.81;240.969;268.218
1557073543241407953;-1245.8;222.901;1568.79;61.4797;-1200.81;240.969;268.218
1557073543261412875;-1245.8;222.901;1568.79;61.4797;-1200.81;240.969;268.218
1557073543281428981;-1245.8;222.901;1568.79;61.4797;-1200.81;240.969;268.218
1557073543301423771;-1245.9;222.747;1568.74;61.5606;-1200.8;240.693;268.272
1557073543321410272;-1245.9;222.747;1568.74;61.5606;-1200.8;240.693;268.272
1557073543341413401;-1245.9;222.747;1568.74;61.5606;-1200.8;240.693;268.272
1557073543361426254;-1245.9;222.747;1568.74;61.5606;-1200.8;240.693;268.272
1557073543381394321;-1245.9;222.747;1568.74;61.5606;-1200.8;240.693;268.272
1557073543401412667;-1246.36;222.737;1568.85;61.8783;-1200.68;240.203;268.064
1557073543421421937;-1246.36;222.737;1568.85;61.8783;-1200.68;240.203;268.064
1557073543441355951;-1246.36;222.737;1568.85;61.8783;-1200.68;240.203;268.064
1557073543461557719;-1246.36;222.737;1568.85;61.8783;-1200.68;240.203;268.064
1557073543481385965;-1246.36;222.737;1568.85;61.8783;-1200.68;240.203;268.064
1557073543501520270;-1246.8;222.868;1569.14;62.2899;-1200.28;239.827;267.249
1557073543521416287;-1246.8;222.868;1569.14;62.2899;-1200.28;239.827;267.249
1557073543541599489;-1246.8;222.868;1569.14;62.2899;-1200.28;239.827;267.249
1557073543561594892;-1246.8;222.868;1569.14;62.2899;-1200.28;239.827;267.249
1557073543581363817;-1246.8;222.868;1569.14;62.2899;-1200.28;239.827;267.249
1557073543601423752;-1246.8;222.868;1569.14;62.2899;-1200.28;239.827;267.249
1557073543621503205;-1247.2;223.107;1569.51;62.7262;-1199.82;239.498;266.382
1557073543641540447;-1247.2;223.107;1569.51;62.7262;-1199.82;239.498;266.382
1557073543661605265;-1247.2;223.107;1569.51;62.7262;-1199.82;239.498;266.382
1557073543681419824;-1247.2;223.107;1569.51;62.7262;-1199.82;239.498;266.382
1557073543701498436;-1247.2;223.107;1569.51;62.7262;-1199.82;239.498;266.382
1557073543721503906;-1247.56;223.393;1569.88;63.1826;-1199.37;239.191;265.473
1557073543741571332;-1247.56;223.393;1569.88;63.1826;-1199.37;239.191;265.473
1557073543761498498;-1247.56;223.393;1569.88;63.1826;-1199.37;239.191;265.473
1557073543781360812;-1247.56;223.393;1569.88;63.1826;-1199.37;239.191;265.473
1557073543801437050;-1247.89;223.684;1570.24;63.6389;-1198.93;238.928;264.585
1557073543821534766;-1247.89;223.684;1570.24;63.6389;-1198.93;238.928;264.585
1557073543841569107;-1247.89;223.684;1570.24;63.6389;-1198.93;238.928;264.585
1557073543861600765;-1247.89;223.684;1570.24;63.6389;-1198.93;238.928;264.585
1557073543881422137;-1247.89;223.684;1570.24;63.6389;-1198.93;238.928;264.585
1557073543901356263;-1248.21;223.975;1570.6;64.1036;-1198.43;238.645;263.743
1557073543921511979;-1248.21;223.975;1570.6;64.1036;-1198.43;238.645;263.743
1557073543941568255;-1248.21;223.975;1570.6;64.1036;-1198.43;238.645;263.743
1557073543961604470;-1248.21;223.975;1570.6;64.1036;-1198.43;238.645;263.743
1557073543981474522;-1248.21;223.975;1570.6;64.1036;-1198.43;238.645;263.743
1557073544001512655;-1248.51;224.256;1570.95;64.5765;-1197.96;238.395;262.76
1557073544021511723;-1248.51;224.256;1570.95;64.5765;-1197.96;238.395;262.76
1557073544041559872;-1248.51;224.256;1570.95;64.5765;-1197.96;238.395;262.76
1557073544061497107;-1248.51;224.256;1570.95;64.5765;-1197.96;238.395;262.76
1557073544081403555;-1248.51;224.256;1570.95;64.5765;-1197.96;238.395;262.76
1557073544101365964;-1248.79;224.52;1571.29;65.0519;-1197.51;238.19;261.799
1557073544121413121;-1248.79;224.52;1571.29;65.0519;-1197.51;238.19;261.799
1557073544141554811;-1248.79;224.52;1571.29;65.0519;-1197.51;238.19;261.799
1557073544161600367;-1248.79;224.52;1571.29;65.0519;-1197.51;238.19;261.799
1557073544181405173;-1248.79;224.52;1571.29;65.0519;-1197.51;238.19;261.799
1557073544201412484;-1249.06;224.798;1571.62;65.5318;-1197.02;237.967;260.874
1557073544221516045;-1249.06;224.798;1571.62;65.5318;-1197.02;237.967;260.874
1557073544241550398;-1249.06;224.798;1571.62;65.5318;-1197.02;237.967;260.874
1557073544261601130;-1249.06;224.798;1571.62;65.5318;-1197.02;237.967;260.874
1557073544281359648;-1249.06;224.798;1571.62;65.5318;-1197.02;237.967;260.874
1557073544301521109;-1249.31;225.072;1571.93;66.0159;-1196.53;237.753;259.961
1557073544321445162;-1249.31;225.072;1571.93;66.0159;-1196.53;237.753;259.961
1557073544341548264;-1249.31;225.072;1571.93;66.0159;-1196.53;237.753;259.961
1557073544361499228;-1249.31;225.072;1571.93;66.0159;-1196.53;237.753;259.961
1557073544381406150;-1249.31;225.072;1571.93;66.0159;-1196.53;237.753;259.961
1557073544401355249;-1249.56;225.344;1572.25;66.5224;-1196.05;237.532;259.106
1557073544421512383;-1249.56;225.344;1572.25;66.5224;-1196.05;237.532;259.106
1557073544441542758;-1249.56;225.344;1572.25;66.5224;-1196.05;237.532;259.106
1557073544461624010;-1249.56;225.344;1572.25;66.5224;-1196.05;237.532;259.106
1557073544481355635;-1249.56;225.344;1572.25;66.5224;-1196.05;237.532;259.106
1557073544501437021;-1249.79;225.603;1572.56;67.0201;-1195.58;237.337;258.097
1557073544521361285;-1249.79;225.603;1572.56;67.0201;-1195.58;237.337;258.097
1557073544541536083;-1249.79;225.603;1572.56;67.0201;-1195.58;237.337;258.097
1557073544561613377;-1249.79;225.603;1572.56;67.0201;-1195.58;237.337;258.097
1557073544581357278;-1249.79;225.603;1572.56;67.0201;-1195.58;237.337;258.097
1557073544601362459;-1250.02;225.868;1572.85;67.5296;-1195.05;237.114;257.126
1557073544621432622;-1250.02;225.868;1572.85;67.5296;-1195.05;237.114;257.126
1557073544641529347;-1250.02;225.868;1572.85;67.5296;-1195.05;237.114;257.126
1557073544661582738;-1250.02;225.868;1572.85;67.5296;-1195.05;237.114;257.126
1557073544681353261;-1250.02;225.868;1572.85;67.5296;-1195.05;237.114;257.126
1557073544701416985;-1250.24;226.119;1573.14;68.0361;-1194.55;236.91;256.213
1557073544721428959;-1250.24;226.119;1573.14;68.0361;-1194.55;236.91;256.213
1557073544741427599;-1250.24;226.119;1573.14;68.0361;-1194.55;236.91;256.213
1557073544761598662;-1250.24;226.119;1573.14;68.0361;-1194.55;236.91;256.213
1557073544781364812;-1250.24;226.119;1573.14;68.0361;-1194.55;236.91;256.213
1557073544801419641;-1250.44;226.347;1573.42;68.5554;-1194.08;236.757;255.272
1557073544821363873;-1250.44;226.347;1573.42;68.5554;-1194.08;236.757;255.272
1557073544841515180;-1250.44;226.347;1573.42;68.5554;-1194.08;236.757;255.272
1557073544861595600;-1250.44;226.347;1573.42;68.5554;-1194.08;236.757;255.272
1557073544881364382;-1250.44;226.347;1573.42;68.5554;-1194.08;236.757;255.272
1557073544901423980;-1250.61;226.58;1573.7;69.08;-1193.57;236.614;254.328
1557073544921369305;-1250.61;226.58;1573.7;69.08;-1193.57;236.614;254.328
1557073544941507840;-1250.61;226.58;1573.7;69.08;-1193.57;236.614;254.328
1557073544961486232;-1250.61;226.58;1573.7;69.08;-1193.57;236.614;254.328
1557073544981352766;-1250.61;226.58;1573.7;69.08;-1193.57;236.614;254.328
1557073545001511712;-1250.79;226.822;1573.97;69.6102;-1193.07;236.457;253.362
1557073545021442232;-1250.79;226.822;1573.97;69.6102;-1193.07;236.457;253.362
1557073545041453760;-1250.79;226.822;1573.97;69.6102;-1193.07;236.457;253.362
1557073545061597250;-1250.79;226.822;1573.97;69.6102;-1193.07;236.457;253.362
1557073545081358289;-1250.79;226.822;1573.97;69.6102;-1193.07;236.457;253.362
1557073545101360303;-1250.96;227.05;1574.24;70.1462;-1192.59;236.3;252.415
1557073545121426812;-1250.96;227.05;1574.24;70.1462;-1192.59;236.3;252.415
1557073545141576076;-1250.96;227.05;1574.24;70.1462;-1192.59;236.3;252.415
1557073545161604445;-1250.96;227.05;1574.24;70.1462;-1192.59;236.3;252.415
1557073545181364864;-1250.96;227.05;1574.24;70.1462;-1192.59;236.3;252.415
1557073545201439806;-1251.11;227.271;1574.5;70.6892;-1192.06;236.173;251.48
1557073545221443150;-1251.11;227.271;1574.5;70.6892;-1192.06;236.173;251.48
1557073545241574480;-1251.11;227.271;1574.5;70.6892;-1192.06;236.173;251.48
1557073545261603895;-1251.11;227.271;1574.5;70.6892;-1192.06;236.173;251.48
1557073545281362332;-1251.11;227.271;1574.5;70.6892;-1192.06;236.173;251.48
1557073545301415129;-1251.26;227.493;1574.75;71.2459;-1191.54;236.032;250.516
1557073545321424052;-1251.26;227.493;1574.75;71.2459;-1191.54;236.032;250.516
1557073545341585726;-1251.26;227.493;1574.75;71.2459;-1191.54;236.032;250.516
1557073545361601465;-1251.26;227.493;1574.75;71.2459;-1191.54;236.032;250.516
1557073545381382623;-1251.26;227.493;1574.75;71.2459;-1191.54;236.032;250.516
1557073545401425349;-1251.26;227.493;1574.75;71.2459;-1191.54;236.032;250.516
1557073545421513706;-1251.4;227.708;1574.99;71.7938;-1191.06;235.928;249.599
1557073545441571556;-1251.4;227.708;1574.99;71.7938;-1191.06;235.928;249.599
1557073545461602071;-1251.4;227.708;1574.99;71.7938;-1191.06;235.928;249.599
1557073545481417401;-1251.4;227.708;1574.99;71.7938;-1191.06;235.928;249.599
1557073545501410078;-1251.4;227.708;1574.99;71.7938;-1191.06;235.928;249.599
1557073545521420482;-1251.52;227.922;1575.24;72.3489;-1190.55;235.841;248.646
1557073545541576001;-1251.52;227.922;1575.24;72.3489;-1190.55;235.841;248.646
1557073545561479488;-1251.52;227.922;1575.24;72.3489;-1190.55;235.841;248.646
1557073545581402904;-1251.52;227.922;1575.24;72.3489;-1190.55;235.841;248.646
1557073545601487980;-1251.62;228.127;1575.48;72.9189;-1190.04;235.757;247.692
1557073545621426350;-1251.62;228.127;1575.48;72.9189;-1190.04;235.757;247.692
1557073545641575506;-1251.62;228.127;1575.48;72.9189;-1190.04;235.757;247.692
1557073545661609271;-1251.62;228.127;1575.48;72.9189;-1190.04;235.757;247.692
1557073545681362795;-1251.62;228.127;1575.48;72.9189;-1190.04;235.757;247.692
1557073545701422268;-1251.72;228.321;1575.72;73.4989;-1189.55;235.677;246.756
1557073545721509755;-1251.72;228.321;1575.72;73.4989;-1189.55;235.677;246.756
1557073545741612187;-1251.72;228.321;1575.72;73.4989;-1189.55;235.677;246.756
1557073545761576798;-1251.72;228.321;1575.72;73.4989;-1189.55;235.677;246.756
1557073545781368031;-1251.72;228.321;1575.72;73.4989;-1189.55;235.677;246.756
1557073545801436468;-1251.8;228.518;1575.95;74.0693;-1189.06;235.609;245.785
1557073545821518954;-1251.8;228.518;1575.95;74.0693;-1189.06;235.609;245.785
1557073545841578642;-1251.8;228.518;1575.95;74.0693;-1189.06;235.609;245.785
1557073545861567974;-1251.8;228.518;1575.95;74.0693;-1189.06;235.609;245.785
1557073545881362545;-1251.8;228.518;1575.95;74.0693;-1189.06;235.609;245.785
1557073545901412109;-1251.89;228.729;1576.18;74.6529;-1188.53;235.519;244.821
1557073545921500824;-1251.89;228.729;1576.18;74.6529;-1188.53;235.519;244.821
1557073545941573913;-1251.89;228.729;1576.18;74.6529;-1188.53;235.519;244.821
1557073545961620544;-1251.89;228.729;1576.18;74.6529;-1188.53;235.519;244.821
1557073545981422009;-1251.89;228.729;1576.18;74.6529;-1188.53;235.519;244.821
1557073546001513471;-1251.89;228.729;1576.18;74.6529;-1188.53;235.519;244.821
1557073546021494755;-1251.96;228.909;1576.4;75.2423;-1188.02;235.464;243.871
1557073546041574861;-1251.96;228.909;1576.4;75.2423;-1188.02;235.464;243.871
1557073546061577725;-1251.96;228.909;1576.4;75.2423;-1188.02;235.464;243.871
1557073546081358794;-1251.96;228.909;1576.4;75.2423;-1188.02;235.464;243.871
1557073546101437450;-1252.02;229.1;1576.6;75.8403;-1187.55;235.428;242.941
1557073546121440803;-1252.02;229.1;1576.6;75.8403;-1187.55;235.428;242.941
1557073546141577438;-1252.02;229.1;1576.6;75.8403;-1187.55;235.428;242.941
1557073546161477166;-1252.02;229.1;1576.6;75.8403;-1187.55;235.428;242.941
1557073546181394793;-1252.02;229.1;1576.6;75.8403;-1187.55;235.428;242.941
1557073546201365308;-1252.08;229.272;1576.84;76.4377;-1187.04;235.399;241.961
1557073546221424975;-1252.08;229.272;1576.84;76.4377;-1187.04;235.399;241.961
1557073546241575819;-1252.08;229.272;1576.84;76.4377;-1187.04;235.399;241.961
1557073546261585409;-1252.08;229.272;1576.84;76.4377;-1187.04;235.399;241.961
1557073546281364676;-1252.08;229.272;1576.84;76.4377;-1187.04;235.399;241.961
1557073546301401466;-1252.08;229.272;1576.84;76.4377;-1187.04;235.399;241.961
1557073546321412296;-1252.13;229.444;1577.06;77.0355;-1186.55;235.389;240.995
