time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
1.67045 	-0.00255779 	-0.519685 	0.147241 	1.66199 	0.0196338 	-3.12691 	90.161 	116.607 	-0.591113 	317.337 	360.634 	284.632 	539.793 	
1.77248 	-0.0025603 	-0.520865 	0.145038 	1.66164 	0.0195678 	-3.12686 	90.161 	116.541 	-0.591113 	317.219 	360.634 	284.632 	539.793 	
1.87437 	-0.00256224 	-0.522469 	0.141839 	1.66164 	0.0194824 	-3.12681 	90.161 	116.18 	-0.591113 	316.822 	360.634 	284.632 	539.793 	
1.97639 	-0.00256445 	-0.524044 	0.138627 	1.66165 	0.0193966 	-3.12676 	90.161 	115.7 	-0.591113 	316.333 	360.634 	284.632 	539.793 	
2.07849 	-0.00256694 	-0.525591 	0.135401 	1.66165 	0.0193103 	-3.1267 	90.161 	115.202 	-0.591113 	315.836 	360.634 	284.632 	539.793 	
2.18032 	-0.00256969 	-0.52711 	0.132161 	1.66165 	0.0192236 	-3.12665 	90.161 	114.694 	-0.591113 	315.333 	360.634 	284.632 	539.793 	
2.28256 	-0.00257271 	-0.528601 	0.128908 	1.66165 	0.0191364 	-3.1266 	90.161 	114.151 	-0.591113 	314.789 	360.634 	284.632 	539.793 	
2.38432 	-0.002576 	-0.530064 	0.125642 	1.66165 	0.0190488 	-3.12655 	90.161 	113.643 	-0.591113 	314.288 	360.634 	284.632 	539.793 	
2.48648 	-0.00257955 	-0.531497 	0.122364 	1.66166 	0.0189608 	-3.12651 	90.161 	113.15 	-0.591113 	313.782 	360.634 	284.632 	539.793 	
2.58888 	-0.00258338 	-0.532902 	0.119073 	1.66166 	0.0188723 	-3.12646 	90.161 	112.641 	-0.591113 	313.287 	360.634 	284.632 	539.793 	
2.69216 	-0.00258747 	-0.534279 	0.11577 	1.66166 	0.0187835 	-3.12641 	90.161 	112.141 	-0.591113 	312.782 	360.634 	284.632 	539.793 	
2.79548 	-0.00259183 	-0.535626 	0.112456 	1.66166 	0.0186942 	-3.12636 	90.161 	111.588 	-0.591113 	312.24 	360.634 	284.632 	539.793 	
2.90193 	-0.00259646 	-0.536945 	0.109129 	1.66167 	0.0186045 	-3.12632 	90.161 	111.091 	-0.591113 	311.734 	360.634 	284.632 	539.793 	
3.00486 	-0.00260136 	-0.538234 	0.105791 	1.66167 	0.0185145 	-3.12627 	90.161 	110.534 	-0.591113 	311.184 	360.634 	284.632 	539.793 	
3.10802 	-0.00260652 	-0.539494 	0.102442 	1.66167 	0.0184241 	-3.12623 	90.161 	110.032 	-0.591113 	310.681 	360.634 	284.632 	539.793 	
3.21085 	-0.00261195 	-0.540725 	0.0990824 	1.66167 	0.0183332 	-3.12619 	90.161 	109.537 	-0.591113 	310.19 	360.634 	284.632 	539.793 	
3.31372 	-0.00261764 	-0.541927 	0.0957118 	1.66168 	0.018242 	-3.12615 	90.161 	108.982 	-0.591113 	309.638 	360.634 	284.632 	539.793 	
3.41731 	-0.0026236 	-0.543099 	0.0923311 	1.66168 	0.0181505 	-3.1261 	90.161 	108.483 	-0.591113 	309.136 	360.634 	284.632 	539.793 	
3.5198 	-0.00262982 	-0.544241 	0.0889401 	1.66168 	0.0180586 	-3.12606 	90.161 	107.977 	-0.591113 	308.636 	360.634 	284.632 	539.793 	
3.62318 	-0.00263631 	-0.545354 	0.0855393 	1.66168 	0.0179663 	-3.12602 	90.161 	107.435 	-0.591113 	308.09 	360.634 	284.632 	539.793 	
3.72624 	-0.00264306 	-0.546438 	0.0821289 	1.66169 	0.0178737 	-3.12598 	90.161 	106.925 	-0.591113 	307.587 	360.634 	284.632 	539.793 	
3.82914 	-0.00265008 	-0.547491 	0.0787092 	1.66169 	0.0177808 	-3.12595 	90.161 	106.424 	-0.591113 	307.086 	360.634 	284.632 	539.793 	
3.93202 	-0.00265736 	-0.548515 	0.0752804 	1.66169 	0.0176875 	-3.12591 	90.161 	105.923 	-0.591113 	306.584 	360.634 	284.632 	539.793 	
4.0353 	-0.0026649 	-0.549508 	0.0718428 	1.66169 	0.0175939 	-3.12587 	90.161 	105.377 	-0.591113 	306.035 	360.634 	284.632 	539.793 	
4.143 	-0.0026727 	-0.550472 	0.0683965 	1.6617 	0.0175 	-3.12584 	90.161 	104.822 	-0.591113 	305.488 	360.634 	284.632 	539.793 	
4.24602 	-0.00268076 	-0.551405 	0.0649421 	1.6617 	0.0174057 	-3.1258 	90.161 	104.317 	-0.591113 	304.986 	360.634 	284.632 	539.793 	
4.34868 	-0.00268909 	-0.552309 	0.0614797 	1.6617 	0.0173112 	-3.12577 	90.161 	103.819 	-0.591113 	304.485 	360.634 	284.632 	539.793 	
4.45469 	-0.00270652 	-0.554024 	0.0545317 	1.66171 	0.0171213 	-3.1257 	90.161 	103.266 	-0.591113 	303.932 	360.634 	284.632 	539.793 	
4.56008 	-0.00271562 	-0.554837 	0.0510467 	1.66171 	0.0170259 	-3.12567 	90.161 	102.769 	-0.591113 	303.439 	360.634 	284.632 	539.793 	
4.66282 	-0.00272498 	-0.555619 	0.0475548 	1.66171 	0.0169302 	-3.12564 	90.161 	102.217 	-0.591113 	302.886 	360.634 	284.632 	539.793 	
4.76578 	-0.00273459 	-0.55637 	0.0440562 	1.66171 	0.0168343 	-3.12561 	90.161 	101.714 	-0.591113 	302.39 	360.634 	284.632 	539.793 	
4.86911 	-0.00274446 	-0.557091 	0.0405511 	1.66172 	0.0167381 	-3.12558 	90.161 	101.209 	-0.591113 	301.887 	360.634 	284.632 	539.793 	
4.97191 	-0.00275459 	-0.557781 	0.0370399 	1.66172 	0.0166417 	-3.12555 	90.161 	100.728 	-0.591113 	301.397 	360.634 	284.632 	539.793 	
5.07487 	-0.00276498 	-0.558441 	0.0335229 	1.66172 	0.016545 	-3.12552 	90.161 	100.169 	-0.591113 	300.839 	360.634 	284.632 	539.793 	
5.1781 	-0.00277562 	-0.55907 	0.03 	1.66173 	0.0164481 	-3.1255 	90.161 	99.6622 	-0.591113 	300.335 	360.634 	284.632 	539.793 	
5.28065 	-0.00278651 	-0.559668 	0.0264719 	1.66173 	0.016351 	-3.12547 	90.161 	99.1616 	-0.591113 	299.836 	360.634 	284.632 	539.793 	
5.38402 	-0.00279765 	-0.560235 	0.0229388 	1.66173 	0.0162536 	-3.12545 	90.161 	98.6144 	-0.591113 	299.287 	360.634 	284.632 	539.793 	
5.48694 	-0.00280904 	-0.560771 	0.0194007 	1.66173 	0.0161561 	-3.12542 	90.161 	98.1118 	-0.591113 	298.794 	360.634 	284.632 	539.793 	
5.58999 	-0.00282069 	-0.561277 	0.015858 	1.66174 	0.0160583 	-3.1254 	90.161 	97.6052 	-0.591113 	298.287 	360.634 	284.632 	539.793 	
5.693 	-0.00283258 	-0.561751 	0.0123111 	1.66174 	0.0159603 	-3.12538 	90.161 	97.0542 	-0.591113 	297.735 	360.634 	284.632 	539.793 	
5.7962 	-0.00284473 	-0.562195 	0.00876026 	1.66174 	0.0158621 	-3.12536 	90.161 	96.555 	-0.591113 	297.238 	360.634 	284.632 	539.793 	
5.90252 	-0.00285712 	-0.562608 	0.00520561 	1.66175 	0.0157638 	-3.12534 	90.161 	96.0541 	-0.591113 	296.74 	360.634 	284.632 	539.793 	
6.00496 	-0.00286976 	-0.562989 	0.0016475 	1.66175 	0.0156652 	-3.12532 	90.161 	95.5115 	-0.591113 	296.187 	360.634 	284.632 	539.793 	
6.10815 	-0.00288264 	-0.56334 	-0.00191381 	1.66175 	0.0155665 	-3.1253 	90.161 	95.0036 	-0.591113 	295.688 	360.634 	284.632 	539.793 	
6.21096 	-0.00289577 	-0.563659 	-0.00547803 	1.66175 	0.0154677 	-3.12528 	90.161 	94.5028 	-0.591113 	295.188 	360.634 	284.632 	539.793 	
6.3142 	-0.00290915 	-0.563947 	-0.00904503 	1.66176 	0.0153687 	-3.12526 	90.161 	93.9555 	-0.591113 	294.642 	360.634 	284.632 	539.793 	
6.41736 	-0.00292277 	-0.564205 	-0.0126143 	1.66176 	0.0152695 	-3.12524 	90.161 	93.4579 	-0.591113 	294.14 	360.634 	284.632 	539.793 	
6.51996 	-0.00293663 	-0.564431 	-0.0161857 	1.66176 	0.0151702 	-3.12523 	90.161 	92.9548 	-0.591113 	293.641 	360.634 	284.632 	539.793 	
6.62302 	-0.00295073 	-0.564625 	-0.019759 	1.66177 	0.0150708 	-3.12521 	90.161 	92.4022 	-0.591113 	293.138 	360.634 	284.632 	539.793 	
6.72606 	-0.00296507 	-0.564789 	-0.0233338 	1.66177 	0.0149712 	-3.1252 	90.161 	91.9008 	-0.591113 	292.588 	360.634 	284.632 	539.793 	
6.829 	-0.00297965 	-0.564922 	-0.02691 	1.66177 	0.0148716 	-3.12519 	90.161 	91.4052 	-0.591113 	292.089 	360.634 	284.632 	539.793 	
6.93216 	-0.00299446 	-0.565023 	-0.0304871 	1.66178 	0.0147718 	-3.12518 	90.161 	90.901 	-0.591113 	291.586 	360.634 	284.632 	539.793 	
7.03486 	-0.00300952 	-0.565093 	-0.034065 	1.66178 	0.0146719 	-3.12516 	90.161 	90.3508 	-0.591113 	291.041 	360.634 	284.632 	539.793 	
7.14253 	-0.00302481 	-0.565132 	-0.0376435 	1.66178 	0.0145719 	-3.12515 	90.161 	89.8572 	-0.591113 	290.536 	360.634 	284.632 	539.793 	
7.2451 	-0.00304033 	-0.565139 	-0.0412221 	1.66178 	0.0144719 	-3.12515 	90.161 	89.3036 	-0.591113 	289.993 	360.634 	284.632 	539.793 	
7.34786 	-0.00305609 	-0.565116 	-0.0448007 	1.66179 	0.0143717 	-3.12514 	90.161 	88.8084 	-0.591113 	289.492 	360.634 	284.632 	539.793 	
7.4526 	-0.0030883 	-0.564975 	-0.0519565 	1.66179 	0.0141713 	-3.12512 	90.161 	88.2553 	-0.591113 	288.989 	360.634 	284.632 	539.793 	
7.55697 	-0.00310475 	-0.564857 	-0.0555333 	1.6618 	0.0140709 	-3.12512 	90.161 	87.7562 	-0.591113 	288.435 	360.634 	284.632 	539.793 	
7.66061 	-0.00312142 	-0.564709 	-0.0591089 	1.6618 	0.0139706 	-3.12511 	90.161 	87.2556 	-0.591113 	287.942 	360.634 	284.632 	539.793 	
7.7627 	-0.00313832 	-0.564529 	-0.062683 	1.6618 	0.0138702 	-3.12511 	90.161 	86.7081 	-0.591113 	287.441 	360.634 	284.632 	539.793 	
7.86624 	-0.00315545 	-0.564318 	-0.0662556 	1.66181 	0.0137697 	-3.1251 	90.161 	86.2083 	-0.591113 	286.887 	360.634 	284.632 	539.793 	
7.96892 	-0.00317281 	-0.564076 	-0.0698261 	1.66181 	0.0136692 	-3.1251 	90.161 	85.7083 	-0.591113 	286.39 	360.634 	284.632 	539.793 	
8.07232 	-0.00319039 	-0.563803 	-0.0733943 	1.66181 	0.0135688 	-3.1251 	90.161 	85.2029 	-0.591113 	285.888 	360.634 	284.632 	539.793 	
8.17513 	-0.00320818 	-0.563498 	-0.0769601 	1.66182 	0.0134683 	-3.1251 	90.161 	84.6562 	-0.591113 	285.342 	360.634 	284.632 	539.793 	
8.27808 	-0.0032262 	-0.563163 	-0.080523 	1.66182 	0.0133678 	-3.1251 	90.161 	84.1514 	-0.591113 	284.841 	360.634 	284.632 	539.793 	
8.38115 	-0.00324444 	-0.562796 	-0.0840829 	1.66182 	0.0132673 	-3.1251 	90.161 	83.6538 	-0.591113 	284.341 	360.634 	284.632 	539.793 	
8.48408 	-0.0032629 	-0.562399 	-0.0876395 	1.66183 	0.0131668 	-3.1251 	90.161 	83.1064 	-0.591113 	283.786 	360.634 	284.632 	539.793 	
8.58705 	-0.00328157 	-0.56197 	-0.0911925 	1.66183 	0.0130663 	-3.12511 	90.161 	82.6062 	-0.591113 	283.295 	360.634 	284.632 	539.793 	
8.69012 	-0.00330046 	-0.561511 	-0.0947416 	1.66183 	0.0129659 	-3.12511 	90.161 	82.1096 	-0.591113 	282.789 	360.634 	284.632 	539.793 	
8.79307 	-0.00331955 	-0.56102 	-0.0982867 	1.66184 	0.0128655 	-3.12511 	90.161 	81.5579 	-0.591113 	282.294 	360.634 	284.632 	539.793 	
8.89633 	-0.00333887 	-0.560499 	-0.101827 	1.66184 	0.0127652 	-3.12512 	90.161 	81.0599 	-0.591113 	281.743 	360.634 	284.632 	539.793 	
9.00205 	-0.00335839 	-0.559946 	-0.105363 	1.66184 	0.0126649 	-3.12513 	90.161 	80.5564 	-0.591113 	281.242 	360.634 	284.632 	539.793 	
9.10486 	-0.00337812 	-0.559363 	-0.108894 	1.66185 	0.0125647 	-3.12513 	90.161 	80.0112 	-0.591113 	280.69 	360.634 	284.632 	539.793 	
9.2081 	-0.00339806 	-0.558749 	-0.11242 	1.66185 	0.0124645 	-3.12514 	90.161 	79.5092 	-0.591113 	280.193 	360.634 	284.632 	539.793 	
9.311 	-0.0034182 	-0.558104 	-0.11594 	1.66185 	0.0123644 	-3.12515 	90.161 	79.0129 	-0.591113 	279.694 	360.634 	284.632 	539.793 	
9.41431 	-0.00343855 	-0.557429 	-0.119455 	1.66186 	0.0122644 	-3.12516 	90.161 	78.4551 	-0.591113 	279.14 	360.634 	284.632 	539.793 	
9.51723 	-0.0034591 	-0.556723 	-0.122963 	1.66186 	0.0121645 	-3.12517 	90.161 	77.9633 	-0.591113 	278.646 	360.634 	284.632 	539.793 	
9.62035 	-0.00347985 	-0.555986 	-0.126465 	1.66186 	0.0120646 	-3.12518 	90.161 	77.4606 	-0.591113 	278.141 	360.634 	284.632 	539.793 	
9.72323 	-0.00350081 	-0.555219 	-0.129961 	1.66187 	0.0119649 	-3.1252 	90.161 	76.9142 	-0.591113 	277.643 	360.634 	284.632 	539.793 	
