time (NSec);Turtlebot Base Quaternion (q_w);q_x;q_y;q_z;Turtlebot Base Position (t_x);t_y;t_z;
1560686423508484013;0.00254381;0.0144466;0.00765182;0.999863;0.0125276;3.10251;0.0977216;
1560686423516802880;0.00250267;0.0143245;0.00761558;0.999865;0.0125235;3.10251;0.0977209;
1560686423525122346;0.00249948;0.0142951;0.00756932;0.999866;0.0125252;3.10251;0.0977253;
1560686423533468682;0.00247624;0.0143629;0.0076332;0.999865;0.0125194;3.10251;0.0977258;
1560686423550148018;0.00247564;0.0143433;0.00759756;0.999865;0.0125214;3.1025;0.0977212;
1560686423558461354;0.00249542;0.0143555;0.00757431;0.999865;0.012522;3.1025;0.097726;
1560686423566825399;0.00247773;0.0143347;0.0075972;0.999865;0.0125164;3.1025;0.0977196;
1560686423575150374;0.00251873;0.014456;0.00762447;0.999863;0.0125201;3.10251;0.0977343;
1560686423583467953;0.00246825;0.0142016;0.00751729;0.999868;0.012515;3.10252;0.0977274;
1560686423600113497;0.00247496;0.0143085;0.00761195;0.999866;0.0125273;3.10251;0.0977225;
1560686423608457358;0.00250628;0.0143851;0.00762048;0.999864;0.0125251;3.10251;0.0977212;
1560686423616781580;0.00249701;0.0143997;0.00761207;0.999864;0.0125198;3.10251;0.0977201;
1560686423625132467;0.00254021;0.0144009;0.00764297;0.999864;0.0125254;3.10251;0.0977263;
1560686423633444220;0.00249157;0.0143532;0.00759396;0.999865;0.012521;3.10252;0.0977282;
1560686423650116904;0.00252467;0.0144007;0.0076204;0.999864;0.0125199;3.10251;0.0977166;
1560686423658466354;0.00249741;0.0143567;0.00758456;0.999865;0.0125297;3.10252;0.0977254;
1560686423666766184;0.00249496;0.0144556;0.00763049;0.999863;0.0125186;3.1025;0.0977242;
1560686423675140331;0.00250116;0.0144225;0.00761548;0.999864;0.0125239;3.1025;0.0977229;
1560686423683462559;0.00251342;0.014467;0.00764983;0.999863;0.0125256;3.10251;0.097723;
1560686423700132632;0.00250546;0.0144013;0.00757731;0.999864;0.0125261;3.10251;0.0977263;
1560686423708456341;0.00249956;0.0143305;0.00758981;0.999865;0.012522;3.10252;0.0977223;
1560686423716800390;0.00249291;0.0143772;0.00762368;0.999864;0.0125212;3.10251;0.0977288;
1560686423725104389;0.00250448;0.0143089;0.00758221;0.999866;0.012522;3.10251;0.0977255;
1560686423733446299;0.00250993;0.0145362;0.0076593;0.999862;0.0125226;3.10251;0.0977263;
1560686423750118337;0.00250954;0.0144158;0.00766237;0.999864;0.0125223;3.1025;0.0977195;
1560686423758483284;0.00249843;0.0144015;0.00763541;0.999864;0.0125222;3.1025;0.0977204;
1560686423766800417;0.00251518;0.0144029;0.00759748;0.999864;0.0125242;3.10251;0.0977286;
1560686423775127376;0.00248823;0.0143177;0.00758219;0.999866;0.0125166;3.10252;0.0977307;
1560686423783484232;0.00250627;0.0143891;0.00763956;0.999864;0.0125256;3.1025;0.0977204;
1560686423800137327;0.00252316;0.0144623;0.00763294;0.999863;0.0125255;3.10251;0.0977231;
1560686423808479609;0.0024826;0.0144201;0.00761865;0.999864;0.0125202;3.1025;0.0977245;
1560686423816858530;0.00250902;0.0144355;0.00763843;0.999863;0.0125188;3.1025;0.0977315;
1560686423825154035;0.00246839;0.0143214;0.00757424;0.999866;0.0125208;3.10251;0.0977207;
1560686423833451144;0.0024984;0.0144314;0.00762778;0.999864;0.0125217;3.10251;0.0977261;
1560686423841788790;0.00246365;0.0143414;0.00760911;0.999865;0.0125222;3.1025;0.0977236;
1560686423858494958;0.00247148;0.0143403;0.00758794;0.999865;0.0125166;3.10251;0.0977186;
1560686423866801696;0.00247661;0.014307;0.00758054;0.999866;0.0125213;3.10251;0.097722;
1560686423875121720;0.00247781;0.0144009;0.00762524;0.999864;0.0125211;3.10251;0.0977269;
1560686423883456042;0.00245995;0.0142751;0.00757968;0.999866;0.0125232;3.10251;0.0977106;
1560686423900121548;0.00247077;0.0143439;0.00762416;0.999865;0.0125152;3.1025;0.0977229;
1560686423908462065;0.00250265;0.0144113;0.00762576;0.999864;0.0125297;3.1025;0.0977182;
1560686423916790393;0.00248001;0.0143443;0.00760724;0.999865;0.0125213;3.10251;0.0977201;
1560686423925128274;0.0024932;0.0143136;0.00757301;0.999866;0.0125228;3.1025;0.0977266;
1560686423933464127;0.00249281;0.0143261;0.00762452;0.999865;0.0125205;3.1025;0.0977185;
1560686423950138169;0.00250483;0.0143409;0.00759854;0.999865;0.0125239;3.10251;0.097722;
1560686423958484002;0.00248019;0.0144421;0.00765207;0.999863;0.0125346;3.1025;0.0977158;
1560686423966813462;0.00250118;0.0143715;0.00760797;0.999865;0.0125149;3.10251;0.0977309;
1560686423975113524;0.00250705;0.0143335;0.00759152;0.999865;0.012519;3.10252;0.0977282;
1560686423983458285;0.00249517;0.0143908;0.00759652;0.999864;0.0125274;3.1025;0.0977267;
1560686424000135281;0.00248669;0.0142708;0.00757687;0.999866;0.0125235;3.10251;0.0977192;
1560686424008450414;0.00245303;0.0142862;0.00758661;0.999866;0.0125284;3.10251;0.0977243;
1560686424016855682;0.00249665;0.0143119;0.00757942;0.999866;0.012522;3.10251;0.0977212;
1560686424025141789;0.00249573;0.0142879;0.00758248;0.999866;0.0125245;3.10251;0.0977217;
1560686424033462821;0.00251147;0.0143854;0.00760507;0.999864;0.012526;3.10251;0.0977246;
1560686424041842500;0.00248457;0.0143561;0.00760839;0.999865;0.0125285;3.10251;0.0977183;
1560686424058470169;0.00248854;0.0143557;0.00760462;0.999865;0.0125209;3.10251;0.0977296;
1560686424066850986;0.00248236;0.014377;0.00759948;0.999865;0.0125176;3.1025;0.0977255;
1560686424075147401;0.00246935;0.0143713;0.0075858;0.999865;0.0125239;3.1025;0.0977283;
1560686424083475264;0.00248619;0.0143618;0.00758372;0.999865;0.0125309;3.10251;0.0977251;
1560686424091828981;0.00246732;0.0143201;0.00758278;0.999866;0.0125179;3.10251;0.0977191;
1560686424108486036;0.00249498;0.0143549;0.00761231;0.999865;0.0125253;3.1025;0.0977264;
1560686424116807520;0.00252662;0.0143403;0.00760129;0.999865;0.0125273;3.10252;0.0977269;
1560686424125149842;0.00252022;0.0144393;0.00761451;0.999864;0.0125336;3.10251;0.0977243;
1560686424133473003;0.00249431;0.0143078;0.00758227;0.999866;0.0125189;3.10251;0.0977243;
1560686424150134896;0.0025204;0.0142688;0.00758249;0.999866;0.0125228;3.10252;0.0977232;
1560686424158437405;0.00250282;0.0143055;0.0075853;0.999866;0.0125258;3.10251;0.0977307;
1560686424166809527;0.00245973;0.0143125;0.00758345;0.999866;0.0125222;3.10251;0.0977279;
1560686424175110053;0.00248838;0.014239;0.00757365;0.999867;0.0125247;3.10252;0.0977216;
1560686424183471396;0.00249111;0.0143758;0.00759356;0.999865;0.0125191;3.10251;0.0977277;
1560686424191785950;0.00251251;0.0144125;0.00761037;0.999864;0.012524;3.10251;0.0977278;
1560686424208442141;0.00246085;0.014319;0.00757606;0.999866;0.0125159;3.1025;0.0977228;
1560686424216811050;0.00248469;0.0142353;0.00760868;0.999867;0.012519;3.10251;0.0977209;
1560686424225136487;0.00245475;0.0142612;0.00756448;0.999867;0.0125184;3.10251;0.0977254;
1560686424233479002;0.002531;0.014422;0.00762205;0.999864;0.0125287;3.10251;0.0977203;
1560686424250177756;0.00250549;0.0144194;0.00765153;0.999864;0.0125258;3.1025;0.0977205;
1560686424258447286;0.0024917;0.0143286;0.00760214;0.999865;0.012532;3.10251;0.0977186;
1560686424266773845;0.00249837;0.0142549;0.00757861;0.999867;0.0125199;3.10252;0.0977262;
1560686424275114286;0.00248559;0.0144071;0.0076305;0.999864;0.0125191;3.1025;0.0977259;
1560686424283442208;0.00250781;0.0144588;0.00764782;0.999863;0.0125356;3.1025;0.0977225;
1560686424300122247;0.00249859;0.0143911;0.00760601;0.999864;0.012525;3.10251;0.0977305;
1560686424308460695;0.00253251;0.0143971;0.00762332;0.999864;0.0125302;3.10251;0.0977229;
1560686424316774947;0.00249005;0.0142449;0.00755717;0.999867;0.01253;3.10251;0.0977234;
1560686424325119407;0.00248181;0.0143401;0.00758177;0.999865;0.0125265;3.10251;0.0977273;
1560686424333455718;0.0025029;0.0143452;0.00760997;0.999865;0.0125184;3.10251;0.0977267;
1560686424350108017;0.00252063;0.0144572;0.00765501;0.999863;0.0125297;3.1025;0.097717;
1560686424358433876;0.00245452;0.0143418;0.00761625;0.999865;0.0125186;3.1025;0.0977217;
1560686424366776459;0.00250583;0.0142318;0.00759057;0.999867;0.0125222;3.10252;0.0977174;
1560686424375101781;0.00250564;0.0143222;0.00760528;0.999865;0.0125227;3.1025;0.0977263;
1560686424383461557;0.00246488;0.0143029;0.00757501;0.999866;0.0125267;3.10251;0.097724;
1560686424400098334;0.00247752;0.0143496;0.0076137;0.999865;0.0125236;3.1025;0.0977201;
1560686424408567662;0.00251489;0.0144203;0.00763562;0.999864;0.0125332;3.1025;0.0977167;
1560686424416796647;0.00249627;0.0143315;0.00764357;0.999865;0.0125246;3.10251;0.0977257;
1560686424425127716;0.00247966;0.0144024;0.00759944;0.999864;0.0125231;3.10251;0.0977303;
1560686424433448769;0.00250124;0.0143987;0.00759841;0.999864;0.0125269;3.1025;0.0977215;
1560686424450108792;0.00249486;0.0144083;0.0076485;0.999864;0.0125212;3.1025;0.0977194;
1560686424458463676;0.00250641;0.0143698;0.00762123;0.999865;0.0125262;3.10251;0.0977243;
1560686424466744918;0.00248406;0.0143911;0.00760312;0.999864;0.0125302;3.1025;0.0977146;
1560686424475122565;0.00249036;0.0142826;0.00755275;0.999866;0.0125206;3.10252;0.0977199;
1560686424483432075;0.00249553;0.014342;0.00760986;0.999865;0.0125271;3.10251;0.0977294;
1560686424500117323;0.00247645;0.0143542;0.00759346;0.999865;0.0125223;3.10251;0.0977199;
1560686424508423346;0.00252242;0.0144582;0.00763864;0.999863;0.0125274;3.1025;0.0977191;
1560686424516762667;0.00249777;0.0144199;0.00760584;0.999864;0.0125246;3.1025;0.0977193;
1560686424525145166;0.00248316;0.0143003;0.00758541;0.999866;0.0125236;3.10251;0.0977194;
1560686424533426087;0.00249713;0.014474;0.00764413;0.999863;0.0125209;3.10251;0.0977256;
1560686424550113535;0.00253142;0.014432;0.00762011;0.999864;0.0125294;3.10251;0.0977303;
1560686424558468443;0.00249368;0.0143949;0.00760491;0.999864;0.0125265;3.10251;0.0977229;
1560686424566797749;0.00251725;0.0143801;0.0076101;0.999864;0.0125229;3.10251;0.0977226;
1560686424575144388;0.00248262;0.0143433;0.00760575;0.999865;0.0125283;3.10251;0.0977221;
1560686424583474347;0.00246096;0.0142839;0.00757382;0.999866;0.0125215;3.10251;0.0977149;
1560686424600102543;0.00251986;0.014299;0.0075925;0.999866;0.0125259;3.10251;0.0977181;
1560686424608463875;0.00249314;0.0144207;0.00761312;0.999864;0.0125283;3.1025;0.0977199;
1560686424616786926;0.00251636;0.0143071;0.00758166;0.999866;0.0125244;3.10251;0.097721;
1560686424625130162;0.00248006;0.0143475;0.00758643;0.999865;0.0125272;3.10251;0.0977274;
1560686424633466021;0.00246284;0.0143365;0.00760702;0.999865;0.0125251;3.1025;0.097712;
1560686424650132591;0.00251017;0.014416;0.00763702;0.999864;0.0125304;3.1025;0.0977231;
1560686424658485598;0.00249282;0.0144998;0.0076701;0.999862;0.0125255;3.1025;0.0977232;
1560686424666782960;0.00248773;0.0144007;0.00763224;0.999864;0.0125283;3.1025;0.0977219;
1560686424675125611;0.00247536;0.0142989;0.00759596;0.999866;0.0125197;3.1025;0.0977198;
1560686424683476742;0.00253496;0.0144133;0.00765574;0.999864;0.0125266;3.10251;0.0977224;
1560686424700130731;0.00247141;0.0143329;0.00760533;0.999865;0.0125273;3.10251;0.0977245;
1560686424708437488;0.00250138;0.0143866;0.00766172;0.999864;0.0125205;3.1025;0.0977173;
1560686424716795177;0.00247962;0.0143232;0.00758948;0.999866;0.0125231;3.1025;0.0977216;
1560686424725122416;0.00245071;0.014359;0.0076227;0.999865;0.0125245;3.1025;0.0977248;
1560686424733450133;0.00248541;0.0143604;0.00761719;0.999865;0.0125278;3.1025;0.0977177;
1560686424750093896;0.00249153;0.0142762;0.00756257;0.999866;0.0125272;3.10251;0.097717;
1560686424758433014;0.00249488;0.0144068;0.00761971;0.999864;0.0125241;3.1025;0.0977267;
1560686424766791374;0.00248281;0.0144195;0.00761773;0.999864;0.0125179;3.1025;0.097726;
1560686424775125201;0.00245088;0.0142593;0.00755192;0.999867;0.0125107;3.10251;0.0977216;
1560686424783465476;0.00249048;0.014359;0.00763949;0.999865;0.0125226;3.1025;0.0977225;
1560686424800125131;0.00247911;0.0144098;0.00762672;0.999864;0.0125349;3.1025;0.097723;
1560686424808465373;0.00246588;0.0142757;0.00760849;0.999866;0.0125211;3.10251;0.0977219;
1560686424816797095;0.00251287;0.0144445;0.00764394;0.999863;0.0125287;3.1025;0.0977183;
1560686424825119443;0.00246424;0.0143781;0.00761475;0.999865;0.0125284;3.1025;0.0977187;
1560686424833505366;0.00246218;0.0142423;0.00754973;0.999867;0.0125245;3.10251;0.0977167;
1560686424850106873;0.00249267;0.0144311;0.00762628;0.999864;0.0125236;3.1025;0.0977238;
1560686424858425025;0.00246109;0.0143354;0.00760193;0.999865;0.0125222;3.10251;0.0977256;
1560686424866770358;0.00246859;0.0144161;0.00762259;0.999864;0.0125258;3.1025;0.0977239;
1560686424875115199;0.00245824;0.0143042;0.00760547;0.999866;0.0125235;3.1025;0.0977197;
1560686424883439177;0.00248675;0.0143485;0.00759453;0.999865;0.0125289;3.1025;0.0977199;
1560686424900112111;0.0024981;0.0143965;0.00761117;0.999864;0.0125277;3.1025;0.0977192;
1560686424908481214;0.00247753;0.0144034;0.00762652;0.999864;0.0125249;3.1025;0.0977234;
1560686424916767983;0.00247594;0.014463;0.00762285;0.999863;0.0125321;3.10249;0.0977115;
1560686424925119920;0.00252064;0.0144166;0.00763812;0.999864;0.0125209;3.1025;0.0977241;
1560686424933462040;0.00245899;0.0143984;0.00761485;0.999864;0.0125196;3.10249;0.0977198;
1560686424941794873;0.00249636;0.0143388;0.00757998;0.999865;0.0125279;3.10251;0.0977209;
1560686424958448145;0.00252865;0.0142912;0.00760879;0.999866;0.0125207;3.10251;0.0977241;
1560686424966765449;0.00248514;0.0143508;0.00758228;0.999865;0.0125286;3.1025;0.0977154;
1560686424975090620;0.00249617;0.0144531;0.00767952;0.999863;0.0125333;3.1025;0.0977221;
1560686424983403596;0.00249871;0.0144231;0.00760192;0.999864;0.0125254;3.1025;0.0977193;
1560686425000113397;0.00250136;0.0144395;0.00763226;0.999863;0.0125269;3.1025;0.0977213;
1560686425008421333;0.00247552;0.0143761;0.00761673;0.999865;0.0125293;3.1025;0.0977319;
