Vicon Pose Position (t_x);t_y;t_z;Vicon Pose Quat (q_w);q_x;q_y;q_z;EKF Pose Position (t_x);t_y;t_z;EKF Pose Quat (q_w);q_x;q_y;q_z;
0.379971;2.96501;0.936844;0.751392;-0.01548;-0.0765937;0.655213;-0.180354;1.60203;0.81709;-0.520612;-0.00223562;0.0344716;-0.853094;
0.376146;2.96078;0.983442;0.751161;-0.0129776;-0.0782136;0.655341;-0.180354;1.60203;0.81709;-0.520612;-0.00223562;0.0344716;-0.853094;
0.367938;2.94361;1.13973;0.74643;-0.0133811;-0.0607705;0.662549;-0.190619;1.5651;0.90735;-0.519836;-0.0109922;0.0347526;-0.853488;
0.358157;2.90588;1.31063;0.74529;-0.0274607;-0.0694919;0.662541;-0.178751;1.54105;0.990046;-0.508401;0.0174488;0.0291396;-0.86045;
0.358213;2.90547;1.31237;0.745059;-0.0279378;-0.0720856;0.662503;-0.158952;1.57976;1.02128;-0.504253;0.00920461;0.0416483;-0.862502;
0.360173;2.89881;1.33969;0.74515;-0.027856;-0.0806508;0.661416;-0.158952;1.57976;1.02128;-0.504253;0.00920461;0.0416483;-0.862502;
0.36156;2.89873;1.35325;0.745447;-0.0346321;-0.0733718;0.661608;-0.140486;1.64112;1.06935;-0.501356;0.0123757;0.0433387;-0.864067;
0.361971;2.89935;1.35733;0.74412;-0.0389559;-0.0726644;0.662938;-0.140486;1.64112;1.06935;-0.501356;0.0123757;0.0433387;-0.864067;
0.363039;2.90051;1.37606;0.739998;-0.0514404;-0.0671925;0.667264;-0.124014;1.71122;1.14216;-0.494684;0.026977;0.0395128;-0.867755;
0.362997;2.90104;1.38894;0.741828;-0.0516859;-0.072162;0.664689;-0.11205;1.76646;1.23011;-0.492545;0.0320265;0.041596;-0.868702;
0.362277;2.90172;1.39558;0.743148;-0.0505925;-0.0736038;0.663139;-0.11205;1.76646;1.23011;-0.492545;0.0320265;0.041596;-0.868702;
0.362175;2.90185;1.39643;0.743337;-0.0504996;-0.0738032;0.662913;-0.109636;1.8061;1.31777;-0.494535;0.0307776;0.0458973;-0.867399;
0.357785;2.90735;1.41661;0.746841;-0.0531485;-0.0749847;0.65862;-0.109636;1.8061;1.31777;-0.494535;0.0307776;0.0458973;-0.867399;
0.357539;2.90771;1.41752;0.746829;-0.0536433;-0.0748987;0.658604;-0.117686;1.83126;1.39234;-0.493662;0.036039;0.0463046;-0.867672;
0.3519;2.91677;1.43559;0.743751;-0.0613237;-0.0724729;0.661681;-0.117686;1.83126;1.39234;-0.493662;0.036039;0.0463046;-0.867672;
0.351651;2.91716;1.43622;0.743325;-0.0615289;-0.0725905;0.662128;-0.128948;1.84177;1.44637;-0.483957;0.0419617;0.0435798;-0.872998;
0.347877;2.92312;1.44805;0.736877;-0.0620137;-0.0725028;0.66926;-0.128948;1.84177;1.44637;-0.483957;0.0419617;0.0435798;-0.872998;
0.347726;2.9232;1.44843;0.736797;-0.0615784;-0.0726718;0.66937;-0.137817;1.83923;1.48312;-0.475071;0.0368608;0.0466892;-0.877934;
0.344549;2.92258;1.45595;0.734767;-0.050658;-0.0828873;0.671328;-0.137817;1.83923;1.48312;-0.475071;0.0368608;0.0466892;-0.877934;
0.344428;2.92252;1.45622;0.73485;-0.0501073;-0.0821688;0.671367;-0.145477;1.83503;1.50643;-0.470729;0.0251158;0.0549701;-0.880206;
0.342305;2.92167;1.4618;0.735965;-0.0434183;-0.0876739;0.669913;-0.145477;1.83503;1.50643;-0.470729;0.0251158;0.0549701;-0.880206;
0.341267;2.92152;1.46372;0.737362;-0.0420168;-0.0883959;0.66837;-0.156659;1.82712;1.51889;-0.46993;0.0179248;0.0574114;-0.880652;
0.34055;2.92147;1.46463;0.735491;-0.0508249;-0.0989824;0.668335;-0.156659;1.82712;1.51889;-0.46993;0.0179248;0.0574114;-0.880652;
0.340435;2.92149;1.46482;0.735465;-0.0509431;-0.0990134;0.668351;-0.172723;1.81672;1.5264;-0.467665;0.0141927;0.0572413;-0.881936;
0.336459;2.92187;1.4734;0.739402;-0.0398307;-0.0975807;0.664963;-0.172723;1.81672;1.5264;-0.467665;0.0141927;0.0572413;-0.881936;
0.336044;2.92182;1.47387;0.739331;-0.0391163;-0.0967759;0.665202;-0.193323;1.80426;1.53683;-0.466841;0.0148399;0.0609594;-0.882113;
0.32765;2.92043;1.48419;0.737818;-0.0684062;-0.126919;0.659421;-0.193323;1.80426;1.53683;-0.466841;0.0148399;0.0609594;-0.882113;
0.326967;2.92024;1.48506;0.738148;-0.0683471;-0.127609;0.658925;-0.217922;1.78522;1.55328;-0.47628;0.0104023;0.0745498;-0.876066;
0.308817;2.91829;1.51011;0.757378;-0.0542645;-0.123987;0.638797;-0.217922;1.78522;1.55328;-0.47628;0.0104023;0.0745498;-0.876066;
0.307936;2.91829;1.51113;0.758065;-0.0540927;-0.124666;0.637864;-0.245085;1.76579;1.56783;-0.491182;0.0108017;0.0880892;-0.866524;
0.288912;2.91614;1.5362;0.772528;-0.0466358;-0.131967;0.619363;-0.245085;1.76579;1.56783;-0.491182;0.0108017;0.0880892;-0.866524;
0.288026;2.91591;1.53727;0.773356;-0.0463681;-0.132083;0.618324;-0.269396;1.74042;1.57646;-0.510958;0.00234123;0.0933976;-0.854513;
0.268799;2.90683;1.56175;0.799717;-0.0502867;-0.123286;0.585428;-0.269396;1.74042;1.57646;-0.510958;0.00234123;0.0933976;-0.854513;
0.270115;2.90604;1.56555;0.800938;-0.0527824;-0.145519;0.578392;-0.286574;1.71139;1.5821;-0.554782;0.0104933;0.0822079;-0.827858;
0.251313;2.89212;1.58894;0.83926;-0.0604433;-0.108783;0.529297;-0.286574;1.71139;1.5821;-0.554782;0.0104933;0.0822079;-0.827858;
0.240102;2.88044;1.61683;0.881268;-0.0845276;-0.0965824;0.454855;-0.298536;1.69039;1.58978;-0.614104;0.033183;0.0780206;-0.784658;
0.235731;2.87494;1.63431;0.91509;-0.0963123;-0.0825052;0.382789;-0.307031;1.68195;1.59724;-0.682885;0.0471359;0.0698652;-0.725648;
0.235505;2.87307;1.63874;0.919146;-0.117221;-0.103929;0.361426;-0.307031;1.68195;1.59724;-0.682885;0.0471359;0.0698652;-0.725648;
0.226846;2.86385;1.65413;0.940076;-0.161007;-0.0665283;0.293101;-0.316697;1.67261;1.60355;-0.741123;0.0931206;0.0730295;-0.660857;
0.224284;2.85994;1.65917;0.946252;-0.167501;-0.0570554;0.270732;-0.316697;1.67261;1.60355;-0.741123;0.0931206;0.0730295;-0.660857;
0.22376;2.85912;1.66021;0.947545;-0.16852;-0.0551774;0.265923;-0.323248;1.65467;1.61733;-0.806129;0.131048;0.0472268;-0.575111;
0.209843;2.83782;1.68323;0.968077;-0.191003;-0.0161697;0.161501;-0.323248;1.65467;1.61733;-0.806129;0.131048;0.0472268;-0.575111;
0.19745;2.8221;1.69835;0.978065;-0.191222;0.000283692;0.0825974;-0.331603;1.64261;1.63096;-0.859434;0.14414;0.0180169;-0.490175;
0.184314;2.81079;1.70744;0.983842;-0.17657;0.0278915;0.00999218;-0.341513;1.6376;1.64264;-0.889307;0.150549;0.00547281;-0.431785;
0.183789;2.81049;1.70787;0.984079;-0.175398;0.0278535;0.00702454;-0.352031;1.63963;1.66076;-0.918828;0.128536;-0.0016001;-0.373136;
0.175988;2.806;1.72119;0.986581;-0.151597;0.0410767;-0.0446044;-0.352031;1.63963;1.66076;-0.918828;0.128536;-0.0016001;-0.373136;
0.181024;2.80488;1.73979;0.976981;-0.111749;0.149137;-0.103822;-0.352842;1.65329;1.6775;-0.937638;0.106398;-0.0665034;-0.324177;
0.183981;2.80489;1.75271;0.97363;-0.0808346;0.16266;-0.138026;-0.352944;1.67384;1.70316;-0.945149;0.0990165;-0.159549;-0.267269;
0.183117;2.80641;1.75682;0.975518;-0.0754851;0.147545;-0.144556;-0.352944;1.67384;1.70316;-0.945149;0.0990165;-0.159549;-0.267269;
0.182752;2.80681;1.75747;0.975709;-0.0761684;0.144773;-0.145709;-0.376535;1.71094;1.73414;-0.957641;0.0660796;-0.12745;-0.249628;
0.170608;2.81818;1.77459;0.977487;-0.0782417;0.119976;-0.15493;-0.376535;1.71094;1.73414;-0.957641;0.0660796;-0.12745;-0.249628;
0.164126;2.83245;1.78739;0.973935;-0.0684856;0.107849;-0.187427;-0.408527;1.76557;1.76523;-0.964898;0.053587;-0.102037;-0.235985;
0.163041;2.83851;1.78988;0.971331;-0.0637946;0.110065;-0.20083;-0.428256;1.79258;1.77355;-0.971744;0.0526254;-0.0865264;-0.213207;
0.169902;2.86849;1.79252;0.97336;-0.0917247;0.0617222;-0.200867;-0.454789;1.87604;1.78539;-0.974661;0.055297;-0.0705014;-0.204956;
0.170329;2.86991;1.79264;0.973544;-0.0907739;0.0610298;-0.200616;-0.456254;1.92854;1.78963;-0.974419;0.0453989;-0.0641961;-0.210534;
0.187037;2.90377;1.79599;0.97655;-0.0869278;0.047389;-0.191177;-0.456254;1.92854;1.78963;-0.974419;0.0453989;-0.0641961;-0.210534;
0.188175;2.90523;1.79615;0.976819;-0.0866513;0.046359;-0.190175;-0.442154;2.02797;1.80197;-0.969334;0.0387276;-0.0440909;-0.238638;
0.232215;2.93214;1.80269;0.982611;-0.0952777;0.0393338;-0.154435;-0.442154;2.02797;1.80197;-0.969334;0.0387276;-0.0440909;-0.238638;
0.235007;2.93278;1.80266;0.982627;-0.0958897;0.0386794;-0.154122;-0.374082;2.13633;1.79876;-0.963762;0.0430364;-0.0303296;-0.261516;
0.323103;2.94233;1.79411;0.98597;-0.0936379;0.0284803;-0.135215;-0.374082;2.13633;1.79876;-0.963762;0.0430364;-0.0303296;-0.261516;
0.328203;2.94231;1.79356;0.986079;-0.0948908;0.0270167;-0.133846;-0.251921;2.25576;1.80034;-0.95399;0.042457;-0.00789956;-0.296713;
0.462596;2.93229;1.79693;0.989624;-0.0920211;0.00873955;-0.109998;-0.251921;2.25576;1.80034;-0.95399;0.042457;-0.00789956;-0.296713;
0.469116;2.93162;1.79795;0.989898;-0.0909488;0.00756053;-0.108508;-0.104509;2.37026;1.83797;-0.945002;0.0338199;0.0058053;-0.325258;
0.618746;2.9217;1.83399;0.990437;-0.0953143;-0.00908572;-0.0993327;-0.104509;2.37026;1.83797;-0.945002;0.0338199;0.0058053;-0.325258;
0.625112;2.92164;1.8354;0.990462;-0.0955489;-0.00817489;-0.0989333;0.0340816;2.48395;1.85423;-0.941655;0.0423773;0.00855891;-0.333791;
0.773882;2.92384;1.84373;0.992812;-0.0715485;-0.0056855;-0.0957726;0.0340816;2.48395;1.85423;-0.941655;0.0423773;0.00855891;-0.333791;
0.780657;2.92387;1.84318;0.992847;-0.0712707;-0.00680778;-0.0955501;0.185528;2.61129;1.82864;-0.937631;0.0359096;0.0167676;-0.345367;
0.952848;2.93003;1.82857;0.991024;-0.0843034;-0.0396236;-0.095882;0.185528;2.61129;1.82864;-0.937631;0.0359096;0.0167676;-0.345367;
1.09512;2.93946;1.8427;0.992077;-0.0883987;-0.0192502;-0.087166;0.494221;2.82403;1.85421;-0.935815;0.0326648;0.0220172;-0.350282;
1.14062;2.94093;1.85168;0.992101;-0.0829881;-0.0213886;-0.0916038;0.494221;2.82403;1.85421;-0.935815;0.0326648;0.0220172;-0.350282;
1.27139;2.93983;1.87181;0.990046;-0.0867251;-0.059883;-0.0932817;0.494221;2.82403;1.85421;-0.935815;0.0326648;0.0220172;-0.350282;
1.31259;2.93682;1.87139;0.990039;-0.100047;-0.0410623;-0.0901468;0.494221;2.82403;1.85421;-0.935815;0.0326648;0.0220172;-0.350282;
1.31996;2.93644;1.8714;0.990105;-0.0990768;-0.0433873;-0.0894027;0.655476;2.89387;1.84296;-0.932037;0.0258418;0.0256052;-0.360532;
1.49439;2.92286;1.86031;0.988812;-0.109527;-0.0556962;-0.0845737;0.655476;2.89387;1.84296;-0.932037;0.0258418;0.0256052;-0.360532;
1.50117;2.92423;1.86348;0.992814;-0.0782554;-0.0329728;-0.0843138;0.835132;2.97058;1.83259;-0.926357;0.0223744;0.0330735;-0.374525;
1.68845;2.91491;1.86496;0.9942;-0.075834;-0.0512484;-0.0564748;0.835132;2.97058;1.83259;-0.926357;0.0223744;0.0330735;-0.374525;
1.87074;2.92268;1.88785;0.995255;-0.0783863;-0.0459608;-0.0347962;1.00122;3.03801;1.85425;-0.916226;0.0194349;0.0460598;-0.39753;
2.04143;2.95542;1.87612;0.990632;-0.10586;-0.0860335;0.00626584;1.14013;3.10376;1.85148;-0.901595;0.019623;0.042065;-0.430084;
2.04818;2.95755;1.87525;0.990626;-0.105218;-0.0866931;0.0085746;1.24912;3.18036;1.83327;-0.872508;0.0133977;0.0449266;-0.486346;
2.15107;3.00529;1.86107;0.992856;-0.0697032;-0.0674399;0.0694948;1.24912;3.18036;1.83327;-0.872508;0.0133977;0.0449266;-0.486346;
2.1965;3.03091;1.86432;0.989688;-0.0799541;-0.0794911;0.0883506;1.24912;3.18036;1.83327;-0.872508;0.0133977;0.0449266;-0.486346;
2.20241;3.03489;1.86452;0.989383;-0.0793143;-0.0795951;0.0921715;1.32239;3.24581;1.84822;-0.823183;0.0148388;0.0596332;-0.56444;
2.29639;3.10637;1.87461;0.9762;-0.0671127;-0.123373;0.165254;1.32239;3.24581;1.84822;-0.823183;0.0148388;0.0596332;-0.56444;
2.32484;3.13215;1.87811;0.971211;-0.0561389;-0.120774;0.197514;1.32239;3.24581;1.84822;-0.823183;0.0148388;0.0596332;-0.56444;
2.42262;3.2545;1.88453;0.938527;-0.041949;-0.106358;0.325724;1.3733;3.31445;1.85725;-0.69639;-0.00115979;0.0762493;-0.7136;
2.42636;3.26028;1.88407;0.936474;-0.0411683;-0.107465;0.33132;1.39163;3.33471;1.8495;-0.645405;-0.0086766;0.082963;-0.759272;
2.50687;3.39852;1.86509;0.891143;-0.0453646;-0.118784;0.435541;1.39163;3.33471;1.8495;-0.645405;-0.0086766;0.082963;-0.759272;
2.51025;3.40489;1.86474;0.889528;-0.0458253;-0.11925;0.438656;1.41596;3.37299;1.85746;-0.568172;-0.00675912;0.0840575;-0.818578;
