Vicon Pose Position (t_x);t_y;t_z;Vicon Pose Quat (q_w);q_x;q_y;q_z
-0.215189;-0.442231;1.13683;0.999903;0.00315018;0.00552188;-0.0123763
-0.215182;-0.442411;1.13686;0.999904;0.00305752;0.00507555;-0.0125266
-0.215277;-0.442483;1.13689;0.999906;0.00296996;0.00450137;-0.0125954
-0.215398;-0.442568;1.13686;0.999905;0.00301726;0.00433924;-0.0127553
-0.215598;-0.442664;1.13684;0.999901;0.00308826;0.00397501;-0.0131352
-0.215768;-0.442747;1.1368;0.999899;0.00323207;0.00388133;-0.0133149
-0.21599;-0.44271;1.13671;0.999909;0.00445876;0.00393115;-0.0120947
-0.216486;-0.442798;1.13681;0.999909;0.00461217;0.00323603;-0.0122279
-0.216674;-0.442868;1.13686;0.999906;0.00481402;0.00337932;-0.0123611
-0.216825;-0.442957;1.13685;0.999906;0.00463693;0.00343001;-0.0124563
-0.216974;-0.443073;1.13689;0.999903;0.00439953;0.00324974;-0.0127908
-0.217241;-0.443118;1.13704;0.9999;0.00431625;0.00351317;-0.0130389
-0.217314;-0.443209;1.1371;0.9999;0.00421464;0.00337863;-0.0130935
-0.217313;-0.443455;1.1372;0.999898;0.00321625;0.00298604;-0.0136142
-0.217303;-0.443543;1.13721;0.999898;0.0035789;0.00346124;-0.0134162
-0.217144;-0.443636;1.13713;0.999897;0.00374642;0.00392566;-0.0132857
-0.216985;-0.443749;1.13716;0.999895;0.00354706;0.00373553;-0.0135813
-0.216338;-0.444039;1.13704;0.999913;0.00383535;0.00280458;-0.012274
-0.216119;-0.444177;1.13715;0.999915;0.00408303;0.00245622;-0.012131
-0.215934;-0.44424;1.13722;0.99992;0.00436909;0.00253704;-0.0115712
-0.215683;-0.444361;1.13727;0.999922;0.00431261;0.00286851;-0.0113494
-0.215484;-0.444546;1.13738;0.99992;0.00346722;0.0034146;-0.0116342
-0.21476;-0.444913;1.13729;0.999926;0.00327316;0.00376017;-0.0111007
-0.21445;-0.445128;1.13724;0.999923;0.00341803;0.00460581;-0.0109632
-0.214288;-0.445144;1.13726;0.99993;0.00451627;0.00487643;-0.00981785
-0.214032;-0.445385;1.1373;0.999933;0.00419967;0.00451693;-0.00981597
-0.213566;-0.4458;1.13719;0.999922;0.0031122;0.00545329;-0.0107851
-0.213548;-0.445789;1.1372;0.999935;0.00429843;0.00458682;-0.00950658
-0.213266;-0.44603;1.13709;0.999934;0.00340063;0.00467237;-0.00995257
-0.213167;-0.446233;1.13692;0.999925;0.00342317;0.00592503;-0.0101846
-0.213153;-0.446354;1.13681;0.999926;0.00350805;0.00584444;-0.0100428
-0.213266;-0.446586;1.13663;0.999929;0.00343764;0.00543939;-0.0100718
-0.213209;-0.446794;1.13641;0.999934;0.00337012;0.00461981;-0.00998388
-0.213256;-0.446947;1.13621;0.999931;0.00356929;0.00458978;-0.0102022
-0.213353;-0.44709;1.136;0.999936;0.00383136;0.00445561;-0.00970787
-0.213515;-0.447209;1.13576;0.999933;0.00406088;0.00458146;-0.00981787
-0.213787;-0.447322;1.13545;0.999933;0.00440361;0.00422077;-0.00986981
-0.214181;-0.447642;1.13491;0.999923;0.00458957;0.00424335;-0.0106923
-0.214092;-0.447916;1.13433;0.999927;0.00487202;0.00366334;-0.0104752
-0.214211;-0.448082;1.134;0.999927;0.00514052;0.00337181;-0.0104212
-0.214304;-0.448274;1.13352;0.999916;0.00575063;0.00453224;-0.0107246
-0.214488;-0.448478;1.13315;0.999915;0.00617663;0.00439876;-0.0106467
-0.214536;-0.448877;1.1326;0.999916;0.00586709;0.00368827;-0.0109509
-0.214539;-0.449064;1.13223;0.999922;0.00631154;0.00375594;-0.0101219
-0.21466;-0.449185;1.13187;0.999918;0.00663686;0.00378122;-0.0102474
-0.214666;-0.449424;1.13153;0.999915;0.00665709;0.0034723;-0.0106986
-0.214334;-0.44968;1.13101;0.999916;0.00703043;0.00307107;-0.0104099
-0.214147;-0.449929;1.13023;0.999908;0.00882511;0.00345447;-0.00968666
-0.214122;-0.450188;1.13002;0.999915;0.00797813;0.00230063;-0.0100121
-0.214062;-0.450293;1.1296;0.999912;0.00923866;0.00183254;-0.00931459
-0.213629;-0.450478;1.12902;0.999915;0.00982877;0.00226533;-0.00825496
-0.21334;-0.450866;1.12873;0.999915;0.00834535;0.00120513;-0.00990471
-0.21284;-0.451227;1.1281;0.999911;0.00933965;0.00235321;-0.00927315
-0.212625;-0.451392;1.12789;0.999907;0.0101672;0.00211996;-0.00888843
-0.21208;-0.45164;1.1275;0.999911;0.0105292;0.00176988;-0.00798773
-0.211477;-0.452015;1.12714;0.999908;0.0099666;0.00307381;-0.00872722
-0.210998;-0.452267;1.1269;0.999908;0.0103602;0.00315673;-0.00811638
-0.21046;-0.452599;1.12686;0.999917;0.01016;0.00211864;-0.00762164
-0.209774;-0.45293;1.12661;0.999923;0.0104558;0.00166824;-0.00653483
-0.209527;-0.453075;1.12653;0.999918;0.0108889;0.00275031;-0.00611605
-0.209014;-0.453357;1.1264;0.999921;0.0105328;0.00292998;-0.00627703
-0.208701;-0.453556;1.12643;0.999924;0.0104618;0.0023417;-0.00602984
-0.208106;-0.453962;1.12658;0.999932;0.0103335;0.0010897;-0.00538421
-0.207612;-0.454252;1.1264;0.99993;0.0103048;0.00192449;-0.00557548
-0.207438;-0.454341;1.12646;0.999926;0.0111987;0.00133812;-0.00464323
-0.207205;-0.454688;1.12666;0.999937;0.0099876;0.000809313;-0.00507366
-0.206831;-0.45497;1.12667;0.999939;0.0100175;0.000512989;-0.00470515
-0.206505;-0.455346;1.12668;0.999935;0.0103741;0.00199545;-0.00424818
-0.206329;-0.455552;1.12675;0.99993;0.0111054;0.00142291;-0.00387839
-0.206165;-0.455822;1.12698;0.999934;0.0107186;0.000609494;-0.00407219
-0.205678;-0.456273;1.12687;0.999939;0.0098172;0.00166512;-0.00477633
-0.205572;-0.456457;1.12701;0.999942;0.00968132;0.00125435;-0.00447556
-0.20535;-0.456844;1.12733;0.999941;0.0103414;0.000898519;-0.00330695
-0.205083;-0.457045;1.12727;0.999941;0.0104;0.0014659;-0.00287589
-0.204713;-0.457521;1.12729;0.999948;0.00913719;0.00172279;-0.00430032
-0.204509;-0.457747;1.1274;0.999952;0.0089203;0.000491998;-0.00401691
-0.204028;-0.458069;1.12735;0.999953;0.00921326;0.000112845;-0.00314589
-0.20365;-0.458391;1.12733;0.999943;0.0104581;0.000702691;-0.00192966
-0.20322;-0.458758;1.12729;0.999952;0.00946831;0.000556093;-0.0025501
-0.203012;-0.458964;1.12738;0.999957;0.00888959;-6.3654e-05;-0.00248337
-0.202682;-0.459249;1.12742;0.999957;0.00889197;0.000231222;-0.00273408
-0.201745;-0.459865;1.12696;0.999952;0.00941466;0.00179613;-0.00211083
-0.201493;-0.460039;1.12706;0.999953;0.00962905;0.000628473;-0.00130209
-0.201239;-0.460257;1.12697;0.999946;0.0103418;0.000698239;-0.000677577
-0.200728;-0.460545;1.12667;0.999938;0.010954;0.00195837;0.000299247
-0.200384;-0.460835;1.12661;0.999947;0.010134;0.00201285;0.000128039
-0.19999;-0.461171;1.12651;0.999955;0.00932427;0.00141345;-0.000903978
-0.198977;-0.461753;1.12595;0.999947;0.0100167;0.00238265;-0.000465991
-0.19885;-0.461871;1.126;0.999948;0.00995082;0.00228213;-0.000169029
-0.198075;-0.462249;1.12562;0.999944;0.0102956;0.00205432;0.000943501
-0.197933;-0.462337;1.12557;0.999931;0.0114468;0.00231012;0.00145453
-0.197591;-0.462676;1.12551;0.999948;0.00997565;0.00181506;0.00068822
-0.196969;-0.463123;1.12508;0.999935;0.010799;0.00345051;0.000967231
-0.196729;-0.463276;1.1249;0.999927;0.0115471;0.00329821;0.00151435
-0.196522;-0.463438;1.12481;0.999922;0.0119034;0.0032521;0.00193457
-0.195989;-0.463812;1.12469;0.999936;0.0108542;0.00237409;0.00223539
